hour,price_gbp_per_mwh,heuristic_charge_mw,heuristic_discharge_mw,heuristic_soc_mwh,lp_charge_mw,lp_discharge_mw,lp_soc_mwh
29,66.3044593105401,0.0,0.0,92.19544457292888,0.0,0.0,100.0
30,83.90013854229372,0.0,0.0,92.19544457292888,0.0,0.0,100.0
31,86.29536300778605,0.0,0.0,92.19544457292888,0.0,50.0,45.76738554533596
32,85.41890317469716,0.0,0.0,92.19544457292888,0.0,35.00000000000001,7.804555427071122
33,78.93705967877611,0.0,0.0,92.19544457292888,0.0,0.0,7.804555427071122
34,77.61794478102033,0.0,0.0,92.19544457292888,0.0,0.0,7.804555427071122
35,78.45515794893821,0.0,0.0,92.19544457292888,0.0,0.0,7.804555427071122
36,74.03441321684886,0.0,0.0,92.19544457292888,0.0,0.0,7.804555427071122
37,69.0766059813721,0.0,0.0,92.19544457292888,50.0,0.0,53.90227771353556
38,68.13533430814658,0.0,0.0,92.19544457292888,50.0,0.0,100.0
39,78.29906504707328,0.0,0.0,92.19544457292888,0.0,0.0,100.0
40,89.48571624876419,0.0,0.0,92.19544457292888,0.0,0.0,100.0
41,97.81547435054208,0.0,50.0,37.96283011826483,0.0,50.0,45.76738554533596
42,96.05618452197564,0.0,35.0,7.105427357601002e-15,0.0,42.19544457292888,-0.0
43,95.73767824064649,0.0,0.0,7.105427357601002e-15,0.0,0.0,-0.0
44,91.71787523668019,0.0,0.0,7.105427357601002e-15,0.0,0.0,0.0
45,86.9224683852789,0.0,0.0,7.105427357601002e-15,0.0,0.0,-0.0
46,85.98512555518074,0.0,0.0,7.105427357601002e-15,0.0,0.0,-0.0
47,82.45176018191816,0.0,0.0,7.105427357601002e-15,0.0,0.0,-0.0
48,73.41963386644765,0.0,0.0,7.105427357601002e-15,-0.0,0.0,0.0
49,69.9075215712215,0.0,0.0,7.105427357601002e-15,0.0,0.0,-0.0
50,68.39090335326165,0.0,0.0,7.105427357601002e-15,-0.0,0.0,0.0
51,70.34990737310068,0.0,0.0,7.105427357601002e-15,0.0,0.0,-0.0
52,63.01049055079808,0.0,0.0,7.105427357601002e-15,50.0,0.0,46.09772228646444
53,65.20230480345879,0.0,0.0,7.105427357601002e-15,8.823529411764698,0.0,54.23261445466404
54,68.51453421984559,0.0,0.0,7.105427357601002e-15,0.0,0.0,54.23261445466404
55,70.78513343429853,0.0,0.0,7.105427357601002e-15,0.0,0.0,54.23261445466404
56,72.3759934473679,0.0,0.0,7.105427357601002e-15,0.0,0.0,54.23261445466404
57,79.57029539814904,0.0,0.0,7.105427357601002e-15,0.0,50.0,0.0
58,70.05372986096222,0.0,0.0,7.105427357601002e-15,0.0,0.0,-0.0
59,70.57444248817269,0.0,0.0,7.105427357601002e-15,0.0,0.0,-0.0
60,58.11567868885565,50.0,0.0,46.097722286464446,50.0,0.0,46.09772228646444
61,57.13076950135052,50.0,0.0,92.19544457292889,50.0,0.0,92.19544457292888
62,62.51522410850597,0.0,0.0,92.19544457292889,8.465228909328081,0.0,100.0
63,72.7464256018459,0.0,0.0,92.19544457292889,-0.0,0.0,100.0
64,84.17337300917063,0.0,0.0,92.19544457292889,0.0,0.0,100.0
65,94.27761817183907,0.0,50.0,37.96283011826485,0.0,42.19544457292888,54.23261445466404
66,94.52598304939676,0.0,35.000000000000014,0.0,0.0,50.0,0.0
67,90.50241974198894,0.0,0.0,0.0,0.0,0.0,-0.0
68,90.9523565220623,0.0,0.0,0.0,0.0,-0.0,0.0
69,83.95940250539891,0.0,0.0,0.0,0.0,0.0,-0.0
70,71.43515655921814,0.0,0.0,0.0,-0.0,0.0,0.0
71,61.53018366537285,0.0,0.0,0.0,0.0,-0.0,0.0
72,45.27616341873897,50.0,0.0,46.09772228646444,50.0,0.0,46.09772228646444
73,46.23751061719775,0.0,0.0,46.09772228646444,8.465228909328081,0.0,53.90227771353556
74,45.68932807638289,50.0,0.0,92.19544457292888,50.0,0.0,100.0
75,49.67653444724857,0.0,0.0,92.19544457292888,0.0,0.0,100.0
76,49.55208804874012,0.0,0.0,92.19544457292888,-0.0,0.0,100.0
77,55.38344247994226,0.0,0.0,92.19544457292888,-0.0,0.0,100.0
78,65.45988333602354,0.0,0.0,92.19544457292888,0.0,0.0,100.0
79,69.7720035636402,0.0,0.0,92.19544457292888,0.0,0.0,100.0
80,75.46439450532148,0.0,0.0,92.19544457292888,0.0,50.0,45.76738554533596
81,70.56429648910033,0.0,0.0,92.19544457292888,0.0,42.19544457292888,0.0
82,64.48845585029711,0.0,0.0,92.19544457292888,0.0,0.0,-0.0
83,58.00147466106352,0.0,0.0,92.19544457292888,-0.0,0.0,0.0
84,49.16434914192687,0.0,0.0,92.19544457292888,50.0,0.0,46.09772228646444
85,53.37100597968386,0.0,0.0,92.19544457292888,50.0,0.0,92.19544457292888
86,55.560588121771794,0.0,0.0,92.19544457292888,8.465228909328081,0.0,100.0
87,63.15788214464304,0.0,0.0,92.19544457292888,-0.0,0.0,100.0
88,74.0363307463798,0.0,0.0,92.19544457292888,0.0,0.0,100.0
89,82.99336575332262,0.0,0.0,92.19544457292888,0.0,-0.0,100.0
90,89.66565555898579,0.0,50.0,37.96283011826483,0.0,50.0,45.76738554533596
91,88.00788150821211,0.0,35.0,7.105427357601002e-15,0.0,42.19544457292888,-0.0
92,81.59790059266152,0.0,0.0,7.105427357601002e-15,0.0,0.0,0.0
93,75.92025439756688,0.0,0.0,7.105427357601002e-15,0.0,-0.0,0.0
94,61.73487995106292,0.0,0.0,7.105427357601002e-15,-0.0,0.0,0.0
95,50.831388881521434,0.0,0.0,7.105427357601002e-15,0.0,-0.0,0.0
96,33.161917948736054,0.0,0.0,7.105427357601002e-15,0.0,0.0,-0.0
97,26.8125919133412,50.0,0.0,46.097722286464446,50.0,0.0,46.09772228646444
98,29.136694973906373,0.0,0.0,46.097722286464446,0.0,0.0,46.09772228646444
99,25.58754457560473,50.0,0.0,92.19544457292889,50.0,0.0,92.19544457292888
100,27.53976792510386,0.0,0.0,92.19544457292889,8.465228909328081,0.0,100.0
101,41.29583370248015,0.0,0.0,92.19544457292889,-0.0,0.0,100.0
102,47.02864620921289,0.0,0.0,92.19544457292889,0.0,0.0,100.0
103,58.48085081637064,0.0,0.0,92.19544457292889,0.0,50.0,45.76738554533596
104,57.37291716747704,0.0,0.0,92.19544457292889,0.0,42.19544457292888,0.0
105,56.34036605918885,0.0,0.0,92.19544457292889,0.0,0.0,-0.0
106,48.10299505672869,0.0,0.0,92.19544457292889,0.0,0.0,-0.0
107,43.07979992655045,0.0,0.0,92.19544457292889,50.0,0.0,46.09772228646444
108,46.560612819257685,0.0,0.0,92.19544457292889,8.465228909328081,0.0,53.90227771353556
109,38.78393890933624,0.0,0.0,92.19544457292889,50.0,0.0,100.0
110,47.03859399231744,0.0,0.0,92.19544457292889,0.0,0.0,100.0
111,56.513865734723005,0.0,0.0,92.19544457292889,0.0,0.0,100.0
112,61.9786841868889,0.0,0.0,92.19544457292889,0.0,0.0,100.0
113,61.43080301849236,0.0,0.0,92.19544457292889,0.0,0.0,100.0
114,66.45737922234375,0.0,50.0,37.96283011826485,0.0,50.0,45.76738554533596
115,64.16968616176912,0.0,0.0,37.96283011826485,0.0,0.0,45.76738554533596
116,63.15542977589547,0.0,0.0,37.96283011826485,0.0,0.0,45.76738554533596
117,59.41960585242243,0.0,0.0,37.96283011826485,0.0,0.0,45.76738554533596
118,64.5619033358385,0.0,35.000000000000014,0.0,0.0,42.19544457292888,-0.0
119,60.089048159664195,0.0,0.0,0.0,0.0,0.0,0.0
120,43.37086443954706,0.0,0.0,0.0,8.465228909328081,0.0,7.804555427071122
121,42.72674096140927,50.0,0.0,46.09772228646444,50.0,0.0,53.90227771353556
122,42.868506358235145,50.0,0.0,92.19544457292888,50.0,0.0,100.0
123,50.745136574411575,0.0,0.0,92.19544457292888,0.0,0.0,100.0
124,57.483546423747015,0.0,0.0,92.19544457292888,0.0,-0.0,100.0
125,63.810864001224004,0.0,0.0,92.19544457292888,0.0,0.0,100.0
126,77.86266697809639,0.0,0.0,92.19544457292888,0.0,50.0,45.76738554533596
127,76.40778760224322,0.0,0.0,92.19544457292888,0.0,42.19544457292888,-0.0
128,75.57159750433988,0.0,0.0,92.19544457292888,0.0,0.0,-0.0
129,69.20788426132854,0.0,0.0,92.19544457292888,0.0,0.0,0.0
130,63.086616778359385,0.0,0.0,92.19544457292888,0.0,0.0,-0.0
131,51.232558124952234,0.0,0.0,92.19544457292888,50.0,0.0,46.09772228646444
132,52.973549604242876,0.0,0.0,92.19544457292888,0.0,0.0,46.09772228646444
133,52.993942928962205,0.0,0.0,92.19544457292888,0.0,0.0,46.09772228646444
134,49.70408305120463,0.0,0.0,92.19544457292888,50.0,0.0,92.19544457292888
135,52.08621235472465,0.0,0.0,92.19544457292888,8.465228909328081,0.0,100.0
136,62.875255727698864,0.0,0.0,92.19544457292888,0.0,0.0,100.0
137,74.82314601629719,0.0,0.0,92.19544457292888,0.0,0.0,100.0
138,89.43060410719174,0.0,0.0,92.19544457292888,0.0,-0.0,100.0
139,104.35837264314475,0.0,50.0,37.96283011826483,0.0,50.0,45.76738554533596
140,101.32949749173503,0.0,35.0,7.105427357601002e-15,0.0,42.19544457292888,-0.0
141,89.16797202901984,0.0,0.0,7.105427357601002e-15,0.0,0.0,0.0
142,71.54310360290386,0.0,0.0,7.105427357601002e-15,-0.0,0.0,0.0
143,69.33552740069237,0.0,0.0,7.105427357601002e-15,0.0,-0.0,0.0
144,53.08191792271158,0.0,0.0,7.105427357601002e-15,0.0,0.0,-0.0
145,48.438984510088446,0.0,0.0,7.105427357601002e-15,8.465228909328081,0.0,7.804555427071122
146,43.57581748408973,50.0,0.0,46.097722286464446,50.0,0.0,53.90227771353556
147,43.14951782671456,50.0,0.0,92.19544457292889,50.0,0.0,100.0
148,51.72737849892913,0.0,0.0,92.19544457292889,-0.0,0.0,100.0
149,57.38738496639455,0.0,0.0,92.19544457292889,0.0,0.0,100.0
150,63.000291365458764,0.0,0.0,92.19544457292889,0.0,-0.0,100.0
151,63.50219131878713,0.0,0.0,92.19544457292889,0.0,42.50000000000001,53.90227771353556
152,57.94179817639265,0.0,0.0,92.19544457292889,0.0,0.0,53.90227771353556
153,55.32179406080444,0.0,0.0,92.19544457292889,0.0,0.0,53.90227771353556
154,52.090133230730544,0.0,0.0,92.19544457292889,50.0,0.0,100.0
155,58.35619917964462,0.0,0.0,92.19544457292889,0.0,0.0,100.0
156,56.78609724045498,0.0,0.0,92.19544457292889,0.0,0.0,100.0
157,63.14784163712847,0.0,0.0,92.19544457292889,0.0,0.0,100.0
158,64.4397481840577,0.0,0.0,92.19544457292889,0.0,-0.0,100.0
159,64.78519683396158,0.0,0.0,92.19544457292889,0.0,-0.0,100.0
160,67.5893480177389,0.0,0.0,92.19544457292889,0.0,-0.0,100.0
161,70.58524190621847,0.0,0.0,92.19544457292889,0.0,0.0,100.0
162,86.23510642945752,0.0,50.0,37.96283011826485,0.0,50.0,45.76738554533596
163,80.85866699246614,0.0,0.0,37.96283011826485,0.0,0.0,45.76738554533596
164,81.92470850238925,0.0,35.000000000000014,0.0,0.0,42.19544457292888,-0.0
165,71.69490239457159,0.0,0.0,0.0,0.0,0.0,-0.0
166,72.23042030586979,0.0,0.0,0.0,0.0,0.0,-0.0
167,70.61611262162702,0.0,0.0,0.0,0.0,0.0,0.0
168,57.87612683916343,0.0,0.0,0.0,0.0,0.0,-0.0
169,54.93389879504979,0.0,0.0,0.0,0.0,0.0,-0.0
170,49.34881326764628,50.0,0.0,46.09772228646444,50.0,0.0,46.09772228646444
171,51.71728590994593,0.0,0.0,46.09772228646444,0.0,0.0,46.09772228646444
172,51.28726356471181,0.0,0.0,46.09772228646444,0.0,0.0,46.09772228646444
173,49.37567983057427,50.0,0.0,92.19544457292888,50.0,0.0,92.19544457292888
174,49.43329905977989,0.0,0.0,92.19544457292888,8.465228909328081,0.0,100.0
175,57.5980526240478,0.0,0.0,92.19544457292888,0.0,0.0,100.0
176,70.37622798989014,0.0,0.0,92.19544457292888,0.0,-0.0,100.0
177,70.37828901284684,0.0,0.0,92.19544457292888,0.0,-0.0,100.0
178,65.66068429726617,0.0,0.0,92.19544457292888,0.0,0.0,100.0
179,62.75738815931469,0.0,0.0,92.19544457292888,0.0,0.0,100.0
180,67.32369675793645,0.0,0.0,92.19544457292888,0.0,0.0,100.0
181,68.69665763767324,0.0,0.0,92.19544457292888,0.0,0.0,100.0
182,70.0584290069414,0.0,0.0,92.19544457292888,0.0,0.0,100.0
183,82.58425521575202,0.0,0.0,92.19544457292888,0.0,-0.0,100.0
184,91.71977962471198,0.0,0.0,92.19544457292888,0.0,0.0,100.0
185,105.34129245359316,0.0,50.0,37.96283011826483,0.0,42.19544457292888,54.23261445466404
186,107.68565906210618,0.0,35.0,7.105427357601002e-15,0.0,50.0,0.0
187,98.48347523893753,0.0,0.0,7.105427357601002e-15,0.0,0.0,-0.0
188,86.09108991397423,0.0,0.0,7.105427357601002e-15,-0.0,0.0,-0.0
189,89.5950083070382,0.0,0.0,7.105427357601002e-15,0.0,0.0,-0.0
190,93.1445281684012,0.0,0.0,7.105427357601002e-15,0.0,0.0,0.0
191,86.85707640783201,0.0,0.0,7.105427357601002e-15,0.0,-0.0,0.0
192,71.65299651227461,0.0,0.0,7.105427357601002e-15,0.0,0.0,-0.0
193,75.93964074375464,0.0,0.0,7.105427357601002e-15,0.0,0.0,-0.0
194,66.2917056438207,0.0,0.0,7.105427357601002e-15,8.465228909328081,0.0,7.804555427071122
195,60.01506564549878,50.0,0.0,46.097722286464446,50.0,0.0,53.90227771353556
196,65.00341633276224,0.0,0.0,46.097722286464446,50.0,0.0,100.0
197,66.63362466601305,0.0,0.0,46.097722286464446,0.0,0.0,100.0
198,72.39738442435828,0.0,0.0,46.097722286464446,0.0,0.0,100.0
199,76.99166209692633,0.0,0.0,46.097722286464446,0.0,0.0,100.0
200,81.48697486043952,0.0,0.0,46.097722286464446,0.0,0.0,100.0
201,87.51692623067655,0.0,42.50000000000001,0.0,0.0,50.0,45.76738554533596
202,82.66465150532261,0.0,0.0,0.0,0.0,42.19544457292888,-0.0
203,80.45567742197564,0.0,0.0,0.0,0.0,0.0,0.0
204,65.23565819083967,0.0,0.0,0.0,-0.0,0.0,-0.0
205,65.29066699499185,0.0,0.0,0.0,0.0,0.0,0.0
206,64.53022094543589,0.0,0.0,0.0,50.0,0.0,46.09772228646444
207,64.68260302120008,0.0,0.0,0.0,8.823529411764698,0.0,54.23261445466404
208,67.97275291510442,0.0,0.0,0.0,0.0,0.0,54.23261445466404
209,73.09095586737376,0.0,0.0,0.0,0.0,0.0,54.23261445466404
210,81.88377229809083,0.0,0.0,0.0,0.0,50.0,-0.0
211,74.05614970911849,0.0,0.0,0.0,0.0,0.0,-0.0
212,71.18916260401205,0.0,0.0,0.0,0.0,0.0,0.0
213,64.06769003471665,0.0,0.0,0.0,0.0,0.0,-0.0
214,58.249395283204834,50.0,0.0,46.09772228646444,0.0,0.0,-0.0
215,61.081602201255,0.0,0.0,46.09772228646444,0.0,0.0,-0.0
216,52.8778480409604,0.0,0.0,46.09772228646444,8.465228909328081,0.0,7.804555427071122
217,57.89037439139195,0.0,0.0,46.09772228646444,0.0,0.0,7.804555427071122
218,54.83510428324996,0.0,0.0,46.09772228646444,0.0,0.0,7.804555427071122
219,50.51102362703902,50.0,0.0,92.19544457292888,50.0,0.0,53.90227771353556
220,51.44265660205447,0.0,0.0,92.19544457292888,50.0,0.0,100.0
221,57.59398244282781,0.0,0.0,92.19544457292888,0.0,0.0,100.0
222,65.03503910636773,0.0,0.0,92.19544457292888,0.0,-0.0,100.0
223,65.11629422238639,0.0,0.0,92.19544457292888,0.0,-0.0,100.0
224,69.14329335704925,0.0,0.0,92.19544457292888,0.0,-0.0,100.0
225,69.61312641857907,0.0,0.0,92.19544457292888,0.0,-0.0,100.0
226,79.4515268976094,0.0,0.0,92.19544457292888,0.0,-0.0,100.0
227,84.26451915886739,0.0,0.0,92.19544457292888,0.0,42.50000000000001,53.90227771353556
228,75.34194492506165,0.0,0.0,92.19544457292888,0.0,0.0,53.90227771353556
229,73.32632494624237,0.0,0.0,92.19544457292888,0.0,0.0,53.90227771353556
230,68.55204002684988,0.0,0.0,92.19544457292888,50.0,0.0,100.0
231,71.8573689270388,0.0,0.0,92.19544457292888,0.0,0.0,100.0
232,81.17507691586025,0.0,0.0,92.19544457292888,0.0,0.0,100.0
233,93.77297940681265,0.0,50.0,37.96283011826483,0.0,50.0,45.76738554533596
234,91.96721898152389,0.0,35.0,7.105427357601002e-15,0.0,42.19544457292888,0.0
235,87.08069241848878,0.0,0.0,7.105427357601002e-15,0.0,-0.0,0.0
236,71.2583017373477,0.0,0.0,7.105427357601002e-15,-0.0,0.0,0.0
237,65.89991305338981,0.0,0.0,7.105427357601002e-15,0.0,0.0,-0.0
238,55.90312432924068,0.0,0.0,7.105427357601002e-15,-0.0,0.0,0.0
239,50.48421667914944,50.0,0.0,46.097722286464446,0.0,-0.0,0.0
240,35.292897249569435,0.0,0.0,46.097722286464446,0.0,0.0,-0.0
241,33.750161270031164,0.0,0.0,46.097722286464446,0.0,0.0,-0.0
242,23.687682229404217,50.0,0.0,92.19544457292889,50.0,0.0,46.09772228646444
243,17.45859374177013,8.465228909328065,0.0,100.0,50.0,0.0,92.19544457292888
244,33.81124156717913,0.0,0.0,100.0,0.0,0.0,92.19544457292888
245,32.87036698656924,0.0,0.0,100.0,8.465228909328081,0.0,100.0
246,35.16222065633263,0.0,0.0,100.0,0.0,0.0,100.0
247,53.55109595915466,0.0,0.0,100.0,0.0,-0.0,100.0
248,73.92566059542881,0.0,0.0,100.0,0.0,50.0,45.76738554533596
249,66.33794383977683,0.0,0.0,100.0,0.0,0.0,45.76738554533596
250,60.5505065434466,0.0,0.0,100.0,0.0,0.0,45.76738554533596
251,58.33698549939041,0.0,0.0,100.0,50.0,0.0,91.8651078318004
252,65.55965176234972,0.0,0.0,100.0,0.0,0.0,91.8651078318004
253,60.430598327898984,0.0,0.0,100.0,8.823529411764698,0.0,100.0
254,63.323395762304166,0.0,0.0,100.0,0.0,0.0,100.0
255,74.5451182274728,0.0,0.0,100.0,0.0,0.0,100.0
256,84.31663090858123,0.0,0.0,100.0,0.0,0.0,100.0
257,87.97786354342873,0.0,50.0,45.767385545335955,0.0,42.19544457292888,54.23261445466404
258,89.88067161064538,0.0,42.19544457292887,0.0,0.0,50.0,-0.0
259,81.18651457476415,0.0,0.0,0.0,0.0,0.0,0.0
260,76.30632130360434,0.0,0.0,0.0,0.0,0.0,-0.0
261,69.99886252012494,0.0,0.0,0.0,0.0,0.0,-0.0
262,66.81486624414269,0.0,0.0,0.0,-0.0,0.0,0.0
263,60.435195097442616,0.0,0.0,0.0,0.0,0.0,-0.0
264,51.91374844041062,50.0,0.0,46.09772228646444,50.0,0.0,46.09772228646444
265,55.21282966795739,0.0,0.0,46.09772228646444,8.465228909328081,0.0,53.90227771353556
266,54.063017952124,50.0,0.0,92.19544457292888,50.0,0.0,100.0
267,55.55918838113199,0.0,0.0,92.19544457292888,0.0,0.0,100.0
268,57.635786904111484,0.0,0.0,92.19544457292888,0.0,0.0,100.0
269,61.98935978224161,0.0,0.0,92.19544457292888,0.0,0.0,100.0
270,64.16104048934442,0.0,0.0,92.19544457292888,0.0,0.0,100.0
271,72.01269833812653,0.0,0.0,92.19544457292888,0.0,-0.0,100.0
272,74.48969707388136,0.0,0.0,92.19544457292888,0.0,-0.0,100.0
273,84.81571974000308,0.0,0.0,92.19544457292888,0.0,0.0,100.0
274,88.32127047710388,0.0,0.0,92.19544457292888,0.0,-0.0,100.0
275,84.26854264691134,0.0,0.0,92.19544457292888,0.0,0.0,100.0
276,75.8416904262546,0.0,0.0,92.19544457292888,0.0,0.0,100.0
277,203.95178912389548,0.0,50.0,37.96283011826483,0.0,50.0,45.76738554533596
278,162.8970511133577,0.0,35.0,7.105427357601002e-15,0.0,42.19544457292888,0.0
279,145.41920845994377,0.0,0.0,7.105427357601002e-15,0.0,0.0,-0.0
280,132.175601055152,0.0,0.0,7.105427357601002e-15,-0.0,0.0,0.0
281,90.97078080913127,0.0,0.0,7.105427357601002e-15,0.0,0.0,-0.0
282,98.48605803482845,0.0,0.0,7.105427357601002e-15,0.0,0.0,-0.0
283,99.20773582334738,0.0,0.0,7.105427357601002e-15,0.0,0.0,-0.0
284,88.17853778612485,0.0,0.0,7.105427357601002e-15,-0.0,0.0,0.0
285,79.85240752053096,0.0,0.0,7.105427357601002e-15,0.0,-0.0,-0.0
286,76.10290560053471,0.0,0.0,7.105427357601002e-15,0.0,0.0,-0.0
287,72.36949859656917,0.0,0.0,7.105427357601002e-15,0.0,0.0,0.0
288,58.75257578118487,0.0,0.0,7.105427357601002e-15,0.0,0.0,-0.0
289,55.39962248580172,0.0,0.0,7.105427357601002e-15,0.0,0.0,-0.0
290,51.995064426315594,50.0,0.0,46.097722286464446,50.0,0.0,46.09772228646444
291,52.55076494012718,0.0,0.0,46.097722286464446,8.465228909328081,0.0,53.90227771353556
292,62.653846660966124,0.0,0.0,46.097722286464446,0.0,0.0,53.90227771353556
293,52.513979470207246,0.0,0.0,46.097722286464446,50.0,0.0,100.0
294,58.06220643039504,0.0,0.0,46.097722286464446,0.0,0.0,100.0
295,65.60137671194362,0.0,0.0,46.097722286464446,0.0,-0.0,100.0
296,70.7222678042154,0.0,0.0,46.097722286464446,0.0,50.0,45.76738554533596
297,67.77289176917671,0.0,0.0,46.097722286464446,0.0,42.19544457292888,0.0
298,54.24123283684345,0.0,0.0,46.097722286464446,8.465228909328081,0.0,7.804555427071122
299,52.4263269510373,0.0,0.0,46.097722286464446,50.0,0.0,53.90227771353556
300,60.08488173879536,0.0,0.0,46.097722286464446,0.0,0.0,53.90227771353556
301,52.357912260427746,50.0,0.0,92.19544457292889,50.0,0.0,100.0
302,61.956243377914895,0.0,0.0,92.19544457292889,0.0,0.0,100.0
303,67.19825687639721,0.0,0.0,92.19544457292889,0.0,-0.0,100.0
304,74.79228684721124,0.0,0.0,92.19544457292889,0.0,-0.0,100.0
305,75.4457618695553,0.0,0.0,92.19544457292889,0.0,-0.0,100.0
306,77.18499491919336,0.0,0.0,92.19544457292889,0.0,-0.0,100.0
307,84.15518585205021,0.0,0.0,92.19544457292889,0.0,-0.0,100.0
308,83.56690165788697,0.0,0.0,92.19544457292889,0.0,0.0,100.0
309,87.70774437264032,0.0,50.0,37.96283011826485,0.0,-0.0,100.0
310,88.39441295415233,0.0,35.000000000000014,0.0,0.0,-0.0,100.0
311,85.86555224181879,0.0,0.0,0.0,0.0,0.0,100.0
312,82.43500681888318,0.0,0.0,0.0,0.0,0.0,100.0
313,80.28951904309609,0.0,0.0,0.0,0.0,0.0,100.0
314,80.95802929433457,0.0,0.0,0.0,0.0,0.0,100.0
315,76.87127338204024,0.0,0.0,0.0,0.0,0.0,100.0
316,77.42311310549898,0.0,0.0,0.0,0.0,0.0,100.0
317,76.45634132837075,50.0,0.0,46.09772228646444,0.0,0.0,100.0
318,86.95427924427123,0.0,0.0,46.09772228646444,0.0,0.0,100.0
319,84.87505582009888,0.0,0.0,46.09772228646444,0.0,0.0,100.0
320,91.22538091927711,0.0,0.0,46.09772228646444,0.0,-0.0,100.0
321,87.7352207815975,0.0,0.0,46.09772228646444,0.0,0.0,100.0
322,88.81021599103515,0.0,0.0,46.09772228646444,0.0,0.0,100.0
323,86.72844064625895,0.0,0.0,46.09772228646444,-0.0,0.0,100.0
324,92.32746459602977,0.0,0.0,46.09772228646444,0.0,0.0,100.0
325,94.6377999316709,0.0,0.0,46.09772228646444,0.0,0.0,100.0
326,87.66786399238197,0.0,0.0,46.09772228646444,0.0,0.0,100.0
327,92.42015222101506,0.0,0.0,46.09772228646444,0.0,0.0,100.0
328,92.01378438376992,0.0,0.0,46.09772228646444,0.0,0.0,100.0
329,94.3160497667293,0.0,0.0,46.09772228646444,0.0,0.0,100.0
330,104.7912765550586,0.0,42.5,0.0,0.0,42.19544457292888,54.23261445466404
331,106.04718705431861,0.0,0.0,0.0,0.0,50.0,0.0
332,96.76828158186979,0.0,0.0,0.0,0.0,-0.0,-0.0
333,84.81586145714755,0.0,0.0,0.0,0.0,0.0,0.0
334,79.42395737876362,0.0,0.0,0.0,-0.0,0.0,0.0
335,68.46182327887536,50.0,0.0,46.09772228646444,0.0,-0.0,0.0
336,53.053646108556435,0.0,0.0,46.09772228646444,8.465228909328081,0.0,7.804555427071122
337,52.41335010651505,0.0,0.0,46.09772228646444,50.0,0.0,53.90227771353556
338,56.9728542542001,0.0,0.0,46.09772228646444,0.0,0.0,53.90227771353556
339,59.66431481159118,0.0,0.0,46.09772228646444,0.0,0.0,53.90227771353556
340,48.538582143318415,50.0,0.0,92.19544457292888,50.0,0.0,100.0
341,55.247998226171674,0.0,0.0,92.19544457292888,0.0,0.0,100.0
342,62.29003488724457,0.0,0.0,92.19544457292888,0.0,0.0,100.0
343,70.81769628653079,0.0,0.0,92.19544457292888,0.0,0.0,100.0
344,82.80854971651115,0.0,0.0,92.19544457292888,0.0,50.0,45.76738554533596
345,69.65042221289129,0.0,0.0,92.19544457292888,0.0,0.0,45.76738554533596
346,62.38884946236057,0.0,0.0,92.19544457292888,0.0,0.0,45.76738554533596
347,61.40888194457648,0.0,0.0,92.19544457292888,0.0,0.0,45.76738554533596
348,50.1945497329194,8.465228909328081,0.0,100.0,50.0,0.0,91.8651078318004
